segment,name,website,city,email,verified,verify_note,fit_final,fit_score,owner_name,phone,review_signal,site_signals,signals,why_now,email_source
agencies,Abstrakt,https://weareabstrakt.com/,Nottingham,studio@weareabstrakt.com,True,email seen on site,5,5,"Lauren Williams (Co-Founder, Managing Director)",+44 (0)115 870 0511,,"email,form,phone,reviews,social_fb,social_ig,social_li","brief_form,contact_form,case_studies","Their contact page routes people to a separate 'project enquiry form' and their Insights blog just published '20 years of Abstrakt - what changed, what didn't, and what's next' plus a 2025 client-feedback write-up, so triage and first-response speed on new briefs is a live topic for a B Corp studio that sells on client experience.",https://weareabstrakt.com/contact/
agencies,Bubble Design & Marketing,https://www.bubbledesign.co.uk/,"Retford, Nottinghamshire",studio@bubbledesign.co.uk,True,email seen on site,5,4,Chris Peacock (Managing Director),01777 702255,,"crm_forms,email,form,hours,phone,social_fb,social_ig,social_li,whatsapp","contact_form,case_studies","Blog posts dated 20-21 July 2026 announce they are UK Agency Awards 2026 finalists and welcome a new hire (Maddy), with a 'We're hiring!' banner and a callback form addressed to Chris personally - inbound is growing faster than the MD's inbox can qualify it.",https://www.bubbledesign.co.uk/contact/
agencies,Midnight Communications,https://www.midnight.co.uk/,Brighton,hello@midnight.co.uk,True,email seen on site,5,4,Flo Powell & Alex Hankinson (Joint Managing Directors),01273 666 200,,"crm_forms,ecommerce,email,form,hours,payments,phone,social_ig,social_li","contact_form,case_studies","Positioned as 'the PR agency for the responsible economy' serving insurance, professional-advisory and HR clients, and their latest article argues 'Poor employer brand reputation is costing accountancy firms' - a proof-driven B2B shop that should be able to show fast, consistent first responses to its own enquiries.",https://www.midnight.co.uk/contact
agencies,Bullet PR,https://www.bulletpr.co.uk/,Brighton,pandora@bulletpr.co.uk,True,email seen on site,3,3,Pandora George (Founder and Director),01273 775 520,,"booking,ecommerce,email,form,phone,social_fb,social_ig,social_li",,"There is no contact form at all - the founder's personal email and mobile are the only route in for arts, heritage and travel clients like Union Chapel and Royal Pavilion, so every enquiry, pitch and press request lands directly on Pandora.",https://www.bulletpr.co.uk/contact
agencies,Wrise,https://wrise.co.uk/,Manchester (Bury),hello@wrise.co.uk,True,email seen on site,5,5,Rob Truslove (Founder),0161 533 0593,,"ecommerce,email,form,hours,payments,phone,social_fb,social_li","contact_form,case_studies",Their contact page promises 'We reply within one working day' and their model is 'We earn your business every month. No long contracts' - a rolling-retainer SEO shop for small businesses (250+ clients since 2011) where inbound response speed directly protects revenue.,https://wrise.co.uk/contact/
agencies,Something Familiar,https://somethingfamiliar.co.uk/,Bristol,projects@somethingfamiliar.co.uk,True,email seen on site,5,5,,+44 (0) 117 329 3443,,"crm_forms,email,form,payments,phone,social_ig,social_li,whatsapp","brief_form,contact_form,case_studies","Their 'Start a Project' form already captures budget range, deadline and service type, and their latest blog posts are 'Moments of Change: Leading a Business Through Growth' and 'Our Vision for AI' - a B Corp studio publicly thinking about AI and scaling, with a structured brief pipeline that is ready to be triaged.",https://somethingfamiliar.co.uk/contact
agencies,Design Militia,https://designmilitia.co.uk/,Bristol,contact@designmilitia.co.uk,True,email seen on site,4,4,Tim Smalley & Dan Stewart (Founders),(+44) 0117 2140501,,"email,phone",case_studies,"Their 'Start a project' button is a bare mailto link with no form, so every unqualified brief arrives as free-text email to a two-founder studio that has shipped B2B conversion projects like 'GPS Links - How we increased B2B conversion and enquiries' for clients.",https://designmilitia.co.uk/
agencies,People Matters HR,https://www.peoplemattershr.co.uk/,Manchester (Ramsbottom),enquiries@peoplemattershr.co.uk,True,email seen on site,5,4,Niel Cope (CEO) & Yvonne Cope (Director),0161 738 1808,,"crm_forms,ecommerce,email,form,hours,phone,social_fb,social_li",contact_form,"A husband-and-wife-led HR consultancy (est. 2011) serving SMEs across the North West with an 8-person team; HR enquiries are often urgent (disciplinaries, grievances) so a one-hour triage and drafted first response is a clear service upgrade over a generic enquiries@ inbox.",https://www.peoplemattershr.co.uk/contact-us/
agencies,Prohibition PR,https://www.prohibitionpr.co.uk/,Leeds,info@prohibitionpr.co.uk,True,email seen on site,3,3,Chris Norton (Managing Director),0113 430 4160,,"email,phone","contact_form,case_studies","Founder-led since 2012, now '25+ highly skilled PR practitioners' with 45+ awards and a PRWeek Top 150 listing - at this size new-business enquiries, journalist requests and client briefs all compete in one info@ inbox and an MD-owned pipeline.",https://www.prohibitionpr.co.uk/contact/
agencies,Nine Twenty Recruitment,https://www.weareninetwenty.com/,Glasgow,info@weareninetwenty.com,True,email seen on site,4,3,Gordon Brown & Ruaridh Kilgour (Co-Founders),0141 640 0620,,"email,form,phone,social_fb,social_ig,social_li",contact_form,"They run separate info@ and applications@ inboxes with live job listings dated 26-28 August, so the team is triaging a constant stream of candidate applications and employer briefs by hand across two shared mailboxes.",https://www.weareninetwenty.com/
agencies,Reed & Co Accountants,https://www.reedaccountants.co.uk/,Bristol,info@reedaccountants.co.uk,True,email seen on site,4,3,Paul Reed FMAAT (Director & Principal Accountant),0117 251 1000,,"email,form,hours,phone,reviews,social_fb,social_li","contact_form,live_chat",Homepage advertises hours of 'Mon-Fri: 8:00am - 8:00pm / Sat: 9:00am - 1:00pm' with a 'Talk to us' chat box promising 'We'll reply within 1 business day' - a 500+ client practice manually covering a 12-hour window that an approval-gated AI desk could hold to under an hour.,https://www.reedaccountants.co.uk/contact
agencies,We Are Hype,https://wearehype.co.uk/,Edinburgh,hello@wearehype.co.uk,True,email seen on site,4,3,Hamzah Sher (Managing Director),0131 339 6974,,"crm_forms,email,form,phone,social_fb,social_ig,social_li,whatsapp","brief_form,contact_form,whatsapp,case_studies","Their contact page states 'A senior person reads every brief. Expect a considered reply within one working day' - a family-run agency (founded 2009) that has made senior first-response its promise, which is exactly the workload an AI desk drafts for the MD to approve.",https://wearehype.co.uk/contact
agencies,Red Sky Digital,https://redskydigital.co.uk/,Edinburgh,hello@redskydigital.co.uk,True,email seen on site,4,3,,07743 198 444,,"crm_forms,email,form,phone,social_fb,social_ig,social_li,whatsapp","contact_form,case_studies","Their contact form leads with a 'Free Audit' option and a service selector (Google Ads, Meta Ads, SEO, Web Design), so every lead-magnet submission needs qualifying and a tailored first reply from a small team reachable only on a mobile number.",https://redskydigital.co.uk/contact/
agencies,Firefly Design Agency,https://firefly-uk.com/,Edinburgh,hello@firefly-uk.com,True,email seen on site,5,4,Ben Walker (Creative Director),+44 (0) 131 510 8260,,"email,form,phone,social_fb,social_ig,social_li","brief_form,case_studies","Their enquiry form asks for budget band (below GBP 5,000 to over GBP 30,000), preferred contact method and a preferred date/time - meaning someone is manually reading budgets and scheduling calls off a form; they just marked '10 years and counting' on the journal.",https://firefly-uk.com/contact
